id,year,type,weight_lbs
3561,2021,4,22365.6
3562,2021,3,22390.6
3563,2021,4,22415.5
3564,2021,4,22440.4
3565,2021,3,22465.4
3566,2021,3,22490.3
3567,2021,3,22515.2
3568,2021,4,22540.1
3569,2021,3,22565.1
3570,2021,3,22590.0
3571,2021,4,22614.9
3572,2021,3,22639.9
3573,2021,4,22664.8
3574,2021,2,22689.7
3575,2021,4,22714.7
3576,2021,3,22739.6
3577,2021,4,22764.5
3578,2021,3,22789.5
3579,2021,3,22814.4
3580,2021,4,22839.3
3581,2021,4,22864.3
3582,2021,3,22889.2
3583,2021,3,22914.1
3584,2021,3,22939.1
3585,2021,4,22964.0
3586,2021,4,22988.9
3587,2021,3,23013.8
3588,2021,4,23038.8
3589,2021,2,23063.7
3590,2021,4,23088.6
3591,2021,4,23113.6
3592,2021,4,23138.5
3593,2021,4,23163.4
3594,2021,4,23188.4
3595,2021,3,23213.3
3596,2021,4,23238.2
3597,2021,4,23263.2
3598,2021,3,23288.1
3599,2021,4,23313.0
3600,2021,4,23338.0
3601,2021,3,23362.9
3602,2021,3,23387.8
3603,2021,4,23412.8
3604,2021,3,23437.7
3605,2021,4,23462.6
3606,2021,3,23487.5
3607,2021,4,23512.5
3608,2021,4,23537.4
3609,2021,3,23562.3
3610,2021,4,23587.3
3611,2021,4,23612.2
3612,2021,3,23637.1
3613,2021,4,23662.1
3614,2021,4,23687.0
3615,2021,5,23711.9
3616,2021,3,23736.9
3617,2021,4,23761.8
3618,2021,4,23786.7
3619,2021,4,23811.7
3620,2021,4,23836.6
3621,2021,4,23861.5
3622,2021,4,23886.5
3623,2021,4,23911.4
3624,2021,4,23936.3
3625,2021,3,23961.2
3626,2021,4,23986.2
3627,2021,4,24011.1
3628,2021,5,24036.0
3629,2021,4,24061.0
3630,2021,3,24085.9
3631,2021,5,24110.8
3632,2021,3,24135.8
3633,2021,4,24160.7
3634,2021,4,24185.6
3635,2021,4,24210.6
3636,2021,3,24235.5
3637,2021,3,24260.4
3638,2021,2,24285.4
3639,2021,3,24310.3
3640,2021,3,24335.2
3641,2021,4,24360.2
3642,2021,3,24385.1
3643,2021,3,24410.0
3644,2021,4,24434.9
3645,2021,3,24459.9
3646,2021,4,24484.8
3647,2021,2,24509.7
3648,2021,3,24534.7
3649,2021,3,24559.6
3650,2021,4,24584.5
3651,2021,5,24609.5
3652,2021,5,24634.4
3653,2021,4,24659.3
3654,2021,3,24684.3
3655,2021,3,24709.2
3656,2021,4,24734.1
3657,2021,3,24759.1
3658,2021,4,24784.0
3659,2021,3,24808.9
3660,2021,3,24833.9
3661,2021,3,24858.8
3662,2021,3,24883.7
3663,2021,3,24908.6
3664,2021,3,24933.6
3665,2021,3,24958.5
3666,2021,5,24983.4
3667,2021,3,25008.4
3668,2021,5,25033.3
3669,2021,5,25058.2
3670,2021,4,25083.2
3671,2021,3,25108.1
3672,2021,4,25133.0
3673,2021,3,25158.0
3674,2021,5,25182.9
3675,2021,4,25207.8
3676,2021,5,25232.8
3677,2021,2,25257.7
3678,2021,3,25282.6
3679,2021,3,25307.6
3680,2021,5,25332.5
3681,2021,4,25357.4
3682,2021,4,25382.3
3683,2021,3,25407.3
3684,2021,4,25432.2
3685,2021,2,25457.1
